duration_ms,function_name,path,request_id,timestamp,memory_limit_mb,estimated_cost_usd,cost_microdollars
1.7,cvdev,,77867738-8a1f-488f-b30e-eb140b3e529d,2025-08-13 22:57:08.624000,122.0703125,2.033776032924652e-07,0.2033776032924652
1.68,cvdev,,2664ed45-a1d5-432e-b90c-45656114e1b9,2025-08-13 22:57:08.777000,122.0703125,2.0333786678314208e-07,0.20333786678314208
11.12,cvdev,,ce71a891-eb08-4470-af47-aaeedf8f7b04,2025-08-14 01:27:18.934000,122.0703125,2.2209349918365478e-07,0.22209349918365479
1.69,cvdev,,edb67940-d1f7-48c1-9b9e-ea1905b4281b,2025-08-14 01:27:19.063000,122.0703125,2.0335773503780364e-07,0.20335773503780363
1.91,cvdev,,6896bc25-82e2-4cae-be54-6010f979631b,2025-08-14 05:33:57.513000,122.0703125,2.0379483664035796e-07,0.20379483664035797
1.88,cvdev,,264e8a10-5c49-4139-9026-fccf9ce7e7f2,2025-08-14 06:29:58.254000,122.0703125,2.037352318763733e-07,0.2037352318763733
1.49,cvdev,,3c3059ed-927c-481f-8ec6-a59be47fc51a,2025-08-14 06:29:58.398000,122.0703125,2.0296036994457244e-07,0.20296036994457245
14.16,cvdev,,86930201-9764-4d15-9f88-0867b90ebde5,2025-08-14 09:09:33.569000,122.0703125,2.2813344860076906e-07,0.22813344860076906
1.57,cvdev,,b7f92049-c167-450c-89ed-fe2dce42eaae,2025-08-14 09:09:33.708000,122.0703125,2.0311931598186493e-07,0.20311931598186495
1.95,cvdev,,26f08b21-86bc-4d16-9098-ae720a0713ff,2025-08-14 10:07:31.959000,122.0703125,2.038743096590042e-07,0.20387430965900422
3.36,cvdev,,713a8403-43a9-4f28-8231-717530df57f2,2025-08-14 11:04:37.278000,122.0703125,2.0667573356628417e-07,0.20667573356628416
1.79,cvdev,,034c0bf5-efae-4a98-be05-39b3dd7322bf,2025-08-14 11:04:37.395000,122.0703125,2.0355641758441925e-07,0.20355641758441925
1.6,cvdev,,7c35311a-be47-4bfa-9910-f8abe5c04277,2025-08-14 11:04:42.111000,122.0703125,2.0317892074584962e-07,0.20317892074584962
1.63,cvdev,,63253e8f-0c85-4628-9b14-aa7e1e52bc87,2025-08-14 11:04:48.757000,122.0703125,2.032385255098343e-07,0.2032385255098343
1.77,cvdev,,3fd07449-597b-4648-9fa9-5b35b63a4be1,2025-08-14 14:54:52.181000,122.0703125,2.0351668107509613e-07,0.20351668107509613
