ip,start,end,seconds,requests,pages,assets,distinct_pages,entry,ref,ua,path_list
81.96.235.31,2026-02-26T04:06:26,2026-02-26T04:06:27,0,2,1,1,1,/contents,https://w3.petergrecian.co.uk/contents,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Mobile Safari/537.36",/contents|/favicon.ico
134.209.175.181,2026-03-03T09:10:37,2026-03-03T09:10:41,3,2,1,1,1,/,https://www.petergrecian.co.uk/,Mozilla/5.0 (X11; Linux x86_64; rv:142.0) Gecko/20100101 Firefox/142.0,/|/favicon.ico
66.103.29.122,2026-03-04T13:59:30,2026-03-04T14:04:30,299,230,228,2,3,/contents,https://www.petergrecian.co.uk/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36",/contents|/favicon.ico|/springcam|/pi-fleet
212.161.46.97,2026-03-05T13:17:10,2026-03-05T15:03:27,6376,745,734,11,9,/contents,https://www.petergrecian.co.uk/contents,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36",/contents|/favicon.ico|/pi-fleet|/springcam|/gardencam|/gardencam/videos|/gardencam/display|/gardencam/fullres|/site-test|/lambda-stats|/lambda-stats/data
66.103.29.122,2026-03-05T17:24:07,2026-03-05T17:29:06,299,86,85,1,2,/contents,https://www.petergrecian.co.uk/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36",/contents|/favicon.ico|/pi-fleet
81.96.235.31,2026-03-06T06:46:40,2026-03-06T07:00:06,806,27,25,2,9,/contents,https://www.petergrecian.co.uk/contents,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Mobile Safari/537.36",/contents|/favicon.ico|/pi-fleet|/site-test|/cv|/lambda-stats|/t3|/springcam|/memspeed|/gardencam
82.132.230.212,2026-03-06T09:52:24,2026-03-06T09:55:05,160,89,88,1,3,/,https://www.petergrecian.co.uk/contents,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Mobile Safari/537.36",/|/contents|/favicon.ico|/pi-fleet
81.96.235.31,2026-03-08T08:57:17,2026-03-08T13:04:39,14841,97,88,9,7,/pi-fleet,https://www.petergrecian.co.uk/contents,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",/favicon.ico|/pi-fleet|/contents|/gardencam|/springcam|/springcam/fullres|/t3|/lambda-stats|/lambda-stats/data
81.96.235.31,2026-03-09T01:59:44,2026-03-09T02:00:48,63,8,5,3,3,/contents,https://www.petergrecian.co.uk/contents,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Mobile Safari/537.36",/contents|/favicon.ico|/springcam|/springcam/fullres|/pi-fleet
81.96.235.31,2026-03-09T08:23:41,2026-03-09T08:24:18,36,4,2,2,2,/contents,https://www.petergrecian.co.uk/contents,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Mobile Safari/537.36",/contents|/favicon.ico|/springcam|/springcam/fullres
81.96.235.31,2026-03-09T10:56:26,2026-03-09T10:56:27,0,2,1,1,1,/lambda-stats/data,https://www.petergrecian.co.uk/lambda-stats,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",/lambda-stats/data|/favicon.ico
81.96.235.31,2026-03-09T14:46:52,2026-03-09T14:52:53,360,19,14,5,4,/contents,https://www.petergrecian.co.uk/contents,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",/contents|/favicon.ico|/gardencam|/pi-fleet|/springcam
81.96.235.31,2026-03-10T11:29:28,2026-03-10T11:29:45,16,6,4,2,3,/contents,https://www.petergrecian.co.uk/contents,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Mobile Safari/537.36",/contents|/favicon.ico|/pi-fleet|/springcam
81.96.235.31,2026-03-11T10:01:50,2026-03-11T10:01:51,0,2,1,1,1,/lambda-stats/data,https://www.petergrecian.co.uk/lambda-stats,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",/lambda-stats/data|/favicon.ico
66.103.29.122,2026-03-11T10:49:12,2026-03-11T11:08:21,1148,85,83,2,2,/contents,https://www.petergrecian.co.uk/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36",/contents|/favicon.ico|/pi-fleet
81.96.235.31,2026-03-11T10:52:14,2026-03-11T11:27:16,2101,398,397,1,2,/lambda-stats/data,https://www.petergrecian.co.uk/lambda-stats,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Mobile Safari/537.36",/lambda-stats/data|/favicon.ico|/pi-fleet
81.96.235.31,2026-03-11T14:55:44,2026-03-11T18:59:28,14624,147,146,1,2,/contents,https://www.petergrecian.co.uk/contents,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",/contents|/favicon.ico|/pi-fleet
81.96.235.31,2026-03-13T09:39:47,2026-03-13T09:45:06,319,228,227,1,2,/contents,https://www.petergrecian.co.uk/contents,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Mobile Safari/537.36",/contents|/favicon.ico|/pi-fleet
81.96.235.31,2026-03-14T00:56:22,2026-03-14T00:57:44,81,22,21,1,1,/pi-fleet,https://www.petergrecian.co.uk/pi-fleet,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Mobile Safari/537.36",/pi-fleet|/favicon.ico
81.96.235.31,2026-03-16T21:21:56,2026-03-16T21:24:53,176,42,34,8,10,/contents,https://www.petergrecian.co.uk/contents,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Mobile Safari/537.36",/contents|/favicon.ico|/pi-fleet|/cv|/springcam|/springcam/gallery|/site-test|/memspeed|/gardencam|/t3|/lambda-stats
81.96.235.31,2026-03-17T00:13:34,2026-03-17T21:10:18,75403,14690,14689,1,2,/contents,https://www.petergrecian.co.uk/contents,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36",/contents|/favicon.ico|/pi-fleet
139.59.32.89,2026-03-17T11:25:17,2026-03-17T11:25:21,4,2,1,1,1,/,https://www.petergrecian.co.uk/,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",/|/favicon.ico
81.96.235.31,2026-03-18T02:15:24,2026-03-18T02:16:19,55,11,10,1,2,/contents,https://www.petergrecian.co.uk/site-test,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Mobile Safari/537.36",/contents|/favicon.ico|/pi-fleet
81.96.235.31,2026-03-19T03:44:00,2026-03-19T03:49:20,320,27,26,1,2,/contents,https://www.petergrecian.co.uk/contents,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Mobile Safari/537.36",/contents|/favicon.ico|/pi-fleet
81.96.235.31,2026-03-19T16:24:35,2026-03-19T23:50:46,26771,9816,9814,2,2,/contents,https://www.petergrecian.co.uk/contents,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36",/contents|/favicon.ico|/pi-fleet
81.96.235.31,2026-03-20T08:37:13,2026-03-21T14:57:50,109236,55862,55859,3,3,/contents,https://www.petergrecian.co.uk/contents,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36",/contents|/favicon.ico|/springcam|/pi-fleet
